kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
4863753,K06466.01,,1.000012952,2.12,1
9604563,K07949.01,,1.001916708,0.62,1
6307000,K06687.01,,1.002591901,0.87,1
10489345,K02266.01,Kepler-1167 b,1.003931703,1.60,1
7838675,K04169.01,Kepler-1561 b,1.005205893,0.85,1
4275117,K02776.01,,1.006527850,1.03,1
5210475,K01568.01,,1.008917105,1.51,1
5031882,K06501.01,,1.009602350,1.94,1
8613446,K07069.01,,1.014859810,1.61,1
3329643,K06322.01,,1.015044104,1.98,1
4059887,K04887.01,,1.018347376,1.92,1
8178616,K06984.01,,1.018849750,0.47,1
7879648,K07852.01,,1.020713389,0.90,1
2710623,K04532.01,,1.020878310,0.64,1
6060203,K01059.01,Kepler-757 b,1.022678654,1.14,1
8127639,K01012.01,,1.023471798,3.78,1
5534476,K06595.01,,1.025472710,0.94,1
7120108,K02325.01,Kepler-1825 b,1.025857984,1.57,1
10676923,K01297.01,,1.031096352,2.36,1
11496490,K04872.01,,1.035268597,1.34,1
3342952,K03215.01,,1.039046871,0.48,1
8123170,K06972.01,,1.039050820,0.87,1
5164794,K06531.01,,1.042941900,2.49,1
9043947,K07920.01,,1.043478580,1.09,1
6035335,K06648.01,,1.044408447,1.17,1
3946023,K02447.01,,1.045492348,0.83,1
9415172,K00938.02,Kepler-255 d,1.045621950,1.45,3
9345819,K04615.01,,1.045886350,1.10,1
5563057,K05179.01,,1.049468616,0.84,1
2854839,K07639.01,,1.055692860,0.45,1
5022900,K06492.01,,1.056802870,0.83,1
9658089,K07220.01,,1.057080807,0.97,1
5036480,K04080.01,,1.061002863,1.06,1
4949027,K06480.01,,1.061003270,0.94,1
8552565,K01277.01,,1.061932545,2.29,1
8487838,K04596.01,,1.061937837,0.68,1
10153855,K01981.01,Kepler-1037 b,1.063788610,1.61,1
4647662,K04806.01,,1.064846220,0.72,1
5475641,K02895.01,,1.069842837,1.77,1
5389184,K06575.01,,1.069951360,0.90,1
5305240,K03239.01,,1.070982122,0.98,1
7025526,K01380.01,,1.074106954,0.52,1
11076400,K02759.01,,1.078084920,1.01,1
6200235,K02350.01,Kepler-1205 b,1.078389713,1.98,1
11401822,K02454.01,,1.080702940,1.04,1
9851943,K04001.01,,1.081935491,0.99,1
9851970,K04122.01,,1.081937210,0.77,1
9851845,K04696.01,,1.081952080,0.47,1
9094763,K04779.01,,1.084698710,1.11,1
10292540,K04689.01,,1.085229874,1.37,1
7109851,K03012.01,,1.086486129,1.69,1
9641103,K07212.01,,1.089057762,0.44,1
9640946,K04542.01,,1.089060570,0.75,1
9641144,K04262.01,,1.089076495,0.75,1
9640962,K04177.01,,1.089077224,1.00,1
9641041,K00324.01,,1.089077863,1.96,1
9579753,K07945.01,,1.089081490,0.69,1
9640907,K04172.01,,1.089088292,1.28,1
12061969,K02061.02,,1.090011003,1.04,2
11972666,K00545.01,,1.091731740,1.07,1
8244295,K07001.01,,1.092067920,0.74,1
8244190,K01071.01,,1.092068330,1.29,1
5895158,K03935.01,Kepler-1532 b,1.093665854,1.29,1
10158990,K01080.01,,1.096583368,1.35,1
10491525,K04589.01,,1.098446420,1.73,1
12935144,K02847.01,,1.099291188,1.37,1
10268907,K01077.01,,1.103971357,1.37,1
9278725,K02223.01,Kepler-1148 b,1.104462494,1.60,1
10736179,K04408.01,,1.105095798,0.89,1
10801951,K08032.01,,1.105123883,0.83,1
6276994,K04095.01,,1.106011820,0.77,1
9091755,K04052.01,,1.106529843,1.91,1
6695801,K05316.01,,1.106569650,1.09,1
6350476,K02710.01,,1.110599919,1.07,1
9099950,K04125.01,,1.111362442,2.86,1
5119619,K04789.01,,1.112057870,1.02,1
12110786,K02665.01,,1.112207126,0.73,1
4075015,K02850.01,,1.114312050,1.07,1
5794570,K02675.02,Kepler-1312 c,1.116127169,1.00,2
6128245,K06666.01,,1.118510435,0.75,1
8247771,K02344.01,Kepler-1200 b,1.118547814,0.98,1
6938264,K04180.01,,1.121634781,0.60,1
8222627,K04098.01,,1.121733366,2.39,1
4665991,K04870.01,,1.124010840,0.61,1
5893123,K00653.01,,1.125963085,1.41,1
4664046,K02930.01,,1.129765970,0.83,1
7031638,K07805.01,,1.133530950,0.49,1
7199644,K07821.01,,1.133573040,0.59,1
4242692,K03928.01,Kepler-1531 b,1.138548215,1.45,1
5977541,K06642.01,,1.140735280,0.68,1
10549902,K04826.01,,1.141148847,1.67,1
2708885,K02907.01,,1.146934644,1.39,1
10332883,K01880.01,Kepler-994 b,1.151166776,1.28,1
7699298,K04534.01,,1.157814100,1.24,1
5903312,K00008.01,,1.160152590,1.40,1
3450040,K04205.01,,1.166960319,0.88,1
3849155,K00390.01,,1.168310132,1.43,1
6947837,K06794.01,,1.170338480,0.98,1
5019567,K06488.01,,1.174301830,2.22,1
4945035,K05108.01,,1.174683069,3.06,1
