kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
10797460,K00752.01,Kepler-227 b,9.488035570,2.26,2
10797460,K00752.02,Kepler-227 c,54.418382700,2.83,2
10811496,K00753.01,,19.899139950,14.60,1
10848459,K00754.01,,1.736952453,33.46,1
10854555,K00755.01,Kepler-664 b,2.525591777,2.75,1
10872983,K00756.01,Kepler-228 d,11.094320540,3.90,3
10872983,K00756.02,Kepler-228 c,4.134435120,2.77,3
10872983,K00756.03,Kepler-228 b,2.566588970,1.59,3
6721123,K00114.01,,7.361789580,39.21,1
10910878,K00757.01,Kepler-229 c,16.068646740,5.76,3
11446443,K00001.01,Kepler-1 b,2.470613377,13.04,1
10666592,K00002.01,Kepler-2 b,2.204735417,16.10,1
6922244,K00010.01,Kepler-8 b,3.522498429,14.59,1
10984090,K00112.02,Kepler-466 c,3.709214104,1.16,2
10419211,K00742.01,,11.521446064,150.51,1
10464078,K00743.01,,19.403937760,7.18,1
10480982,K00744.01,,19.221388942,49.29,2
10485250,K00745.01,,16.469837740,7.94,1
10526549,K00746.01,Kepler-660 b,9.273581730,2.47,1
10583066,K00747.01,Kepler-661 b,6.029303290,2.85,1
10583180,K00748.01,,2.696370652,1.58,1
10601284,K00749.01,Kepler-226 c,5.349553819,2.55,3
10601284,K00749.02,Kepler-226 b,3.941052210,1.70,3
10601284,K00749.03,Kepler-226 d,8.109048070,1.30,3
2306756,K00113.01,,386.603052800,41.50,1
10662202,K00750.01,Kepler-662 b,21.676991930,2.95,4
10682541,K00751.01,Kepler-663 b,4.996779680,2.78,1
11460018,K00769.01,Kepler-671 b,4.280963604,2.30,1
11463211,K00770.01,,1.506354090,4.53,1
11465813,K00771.01,,670.645531000,14.14,1
11493732,K00772.01,,61.256362800,39.87,1
11507101,K00773.01,Kepler-672 b,38.377548600,2.82,1
10910878,K00757.02,Kepler-229 d,41.197255020,3.86,3
10910878,K00757.03,Kepler-229 b,6.252962249,2.65,3
10987985,K00758.01,Kepler-665 b,16.013084190,3.10,1
11018648,K00759.01,Kepler-230 b,32.628766720,3.36,2
11018648,K00759.02,Kepler-230 c,91.773286200,2.12,2
11138155,K00760.01,Kepler-1976 b,4.959319244,12.21,1
11152159,K00761.01,,2.701287801,6.54,1
11153539,K00762.01,Kepler-666 b,4.498765110,2.10,1
11242721,K00763.01,,19.651209505,12.42,1
9579641,K00115.01,Kepler-105 b,5.412203927,2.94,3
11304958,K00764.01,Kepler-667 b,41.439586620,5.50,1
11391957,K00765.01,Kepler-668 b,8.353895230,2.52,1
11403044,K00766.01,Kepler-669 b,4.125543472,4.43,1
11414511,K00767.01,Kepler-670 b,2.816504904,12.21,1
11442465,K00768.01,,33.933734470,7.34,1
12110942,K00786.01,Kepler-680 b,3.689920099,1.89,1
12366084,K00787.01,Kepler-232 b,4.431238488,3.25,3
12366084,K00787.02,Kepler-232 c,11.379369860,3.95,3
12404086,K00788.01,Kepler-681 b,26.394328970,3.07,1
8395660,K00116.01,Kepler-106 c,13.570782810,2.64,4
9579641,K00115.02,Kepler-105 c,7.125943870,1.79,3
11656840,K00774.01,,7.442652004,15.03,1
11754553,K00775.01,Kepler-52 c,16.384899880,2.00,3
11754553,K00775.02,Kepler-52 b,7.877416300,2.16,3
